model_url,downloads,downloadsAllTime,organization,model_name,date
taide/b.1.0.0,0,813,taide,b.1.0.0,2024-06-13
taide/b.11.0.0,36,1096,taide,b.11.0.0,2024-06-13
taide/e.1.1.0,14,64,taide,e.1.1.0,2024-06-13
taide/a.2.0.0,24,131,taide,a.2.0.0,2024-06-13
taide/TAIDE-LX-7B,1454,3006,taide,TAIDE-LX-7B,2024-06-13
taide/TAIDE-LX-7B-Chat,5059,11359,taide,TAIDE-LX-7B-Chat,2024-06-13
taide/TAIDE-LX-7B-Chat-4bit,259,1342,taide,TAIDE-LX-7B-Chat-4bit,2024-06-13
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1,10491,19902,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1,2024-06-13
taide/Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,671,1819,taide,Llama3-TAIDE-LX-8B-Chat-Alpha1-4bit,2024-06-13
